Zip,District,Neighborhood,percentPeopleStatePrison
19102,Center City,Center City/West,0.000396406
19103,Center City,Center City/West,0.000174113
19104,West Philly,West Philadelphia/University City,0.003518711
19106,Center City,Center City/Society Hill,0.000592495
19107,Center City,Center City/Washington Square West/Chinatown,0.00125
19108,Center City,Center City,
19109,Center City,Center City,
19110,Center City,Center City,
19111,Northeast Philly,Northeast/Fox Chase,0.001736475
19114,Northeast Philly,Northeast/Torresdale South,0.001470363
19115,Northeast Philly,Northeast/Bustleton South,0.00069601
19116,Northeast Philly,Northeast/Bustleton North/Somerton,0.001151362
19118,Northwest Philly,Chestnut Hill,0.000516102
19119,Northwest Philly,Mount Airy,0.002170953
19120,North Philly,Olney,0.005288847
19121,North Philly,Fairmount North/Brewerytown,0.007488217
19122,North Philly,North Philadelphia/Yorktown,0.004087296
19123,Center City,Northern Liberties/Spring Garden,0.003245889
19124,Kensington,Northeast/Frankfrod,0.005918623
19125,Kensington,Kensington/Fishtown,0.00272458
19126,North Philly,Oak Lane,0.004827031
19127,Northwest Philly,Manayunk,0.001010247
19128,Northwest Philly,Roxborough,0.00054336
19129,Northwest Philly,East Falls,0.002321014
19130,Center City,Fairmount South,0.001810846
19131,West Philly,Wynnefield/West Park,0.005807503
19132,North Philly,North Philadelphia/West,0.011819843
19133,North Philly,North Philadelphia/East,0.012110447
19134,Kensington,Port Richmond,0.007169831
19135,Northeast Philly,Northeast/Tacony,0.003952346
19136,Northeast Philly,Northeast/Holmesburg,0.002477587
19137,Kensington,Northeast/Bridesburg,0.002879521
19138,North Philly,Germantown East,0.006757606
19139,West Philly,West Philadelphia/West Market,0.007971165
19140,North Philly,Nicetown,0.00951577
19141,North Philly,Logantown,0.006731729
19142,Southwest Philly,Southwest Philadelphia/Paschall/Elmwood,0.007170641
19143,Southwest Philly,Southwest Philadelphia/Kingsessing,0.007285608
19144,Northwest Philly,Germantown,0.005822711
19145,South Philly,South Philadelphia/West,0.004418106
19146,South Philly,South Philadelphia/Schuylkill,0.005200382
19147,South Philly,South Philadelphia/Queen Village/Bella Vista,0.001581662
19148,South Philly,South Philadelphia/East,0.001982363
19149,Northeast Philly,Northeast‑Mayfair/Oxford Circle,0.00238379
19150,Northwest Philly,Cedarbrook,0.004497103
19151,West Philly,Overbrook,0.005922221
19152,Northeast Philly,Northeast‑Rhawnhurts,0.001086018
19153,Southwest Philly,Southwest Philadelphia‑Eastwick,0.003673401
19154,Northeast Philly,Northeast‑Torresdale North,0.001355209
